id,answer
CORP-TAX-001,"Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ist die Körperschaftsteuer, die gemäß § 8 Abs. 1 KStG in Verbindung mit § 8 Abs. 1 KStG in Verbindung mit § 8 Abs. 1 KStG in Verbindung mit § 8 Abs. 1 KStG in Verbindung mit § 8 Abs. 1 KStG in Verbindung mit § 8 Abs. 1 KStG in Verbindung mit § 8 Abs. 1 KStG in Verbindung mit § 8 Abs. 1 KStG in Verbindung mit § 8 Abs. 1 KStG in Verbindung mit § 8 Abs. 1 KStG in Verbindung mit § 8 Abs. 1 KStG in Verbindung mit § 8 Abs. 1 KStG in Verbindung mit § 8"
CORP-TAX-002,"Die steuerliche Behandlung von Kapitalgesellschaften ist in § 8 Abs. 1 KStG geregelt. § 8 Abs. 1 KStG bestimmt, dass die steuerliche Behandlung von Kapitalgesellschaften aus § 8 Abs. 1 KStG nicht auf die Körperschaft beschränkt ist, sondern auch auf die Kapitalgesellschaften, die in § 8 Abs. 1 KStG genannt sind, anwendbar ist. § 8 Abs. 1 KStG bestimmt, dass die steuerliche Behandlung von Kapitalgesellschaften aus § 8 Abs. 1 KStG nicht auf die Kapitalgesellschaften beschränkt ist, sondern auch auf die Kapitalgesellschaften, die in § 8 Abs. 1 KStG genannt sind, anwendbar ist. § 8 Abs. 1 KStG bestimmt, dass die steuerliche Behandlung von Kapitalgesellschaften aus §"
CORP-TAX-003,"Gewerbebetrieb sind Körperschaften, die Einkünfte aus Gewerbebetrieb gemäß § 8 Abs. 1 KStG erzielen. § 8 Abs. 1 KStG ist auf die Körperschaftsteuer anzuwenden, § 8 Abs. 2 KStG auf die Körperschaftsteuer. § 8 Abs. 3 KStG gilt entsprechend. § 8 Abs. 4 KStG gilt entsprechend. § 8 Abs. 5 KStG gilt entsprechend. § 8 Abs. 6 KStG gilt entsprechend. § 8 Abs. 7 KStG gilt entsprechend. § 8 Abs. 8 KStG gilt entsprechend. § 8 Abs. 9 KStG gilt entsprechend. § 8 Abs. 9 KStG gilt entsprechend. § 8 Abs. 10 KStG gilt entsprechend. § 8"
CORP-TAX-004,"Die österreichische Tochtergesellschaft ist steuerlich von der Muttergesellschaft unabhängig. § 8 Abs. 1 KStG sieht vor, dass die österreichische Tochtergesellschaft eine Dividende von 10 % ausschüttet, die Muttergesellschaft jedoch eine Körperschaftsteuer von 10 % erhebt. § 8 Abs. 2 KStG sieht vor, dass die österreichische Tochtergesellschaft eine Körperschaftsteuer von 10 % erhebt, die Muttergesellschaft jedoch eine Körperschaftsteuer von 10 % erhebt. § 8 Abs. 3 KStG sieht vor, dass die österreichische Tochtergesellschaft eine Körperschaftsteuer von 10 % erhebt, die Muttergesellschaft jedoch eine Körperschaftsteuer von 10 % erhebt. § 8 Abs. 4 KStG sieht vor, dass die österreichische Tochtergesellschaft eine Körperschaftsteuer von 10 % erhebt, die Muttergesellschaft jedoch"
CORP-TAX-005,"Die steuerliche Behandlung einer offenen Ausschüttung ist in § 8 Abs. 1 KStG geregelt. § 8 Abs. 1 KStG bestimmt, dass die Ausschüttung einer Körperschaft an eine Körperschaftsteuerpflicht unterliegt, § 8 Abs. 2 KStG. § 8 Abs. 3 KStG bestimmt, dass die Körperschaftsteuerpflicht gemäß § 8 Abs. 1 KStG entfällt, § 8 Abs. 3 KStG. § 8 Abs. 3 KStG bestimmt, dass die Körperschaftsteuerpflicht gemäß § 8 Abs. 1 KStG entfällt, § 8 Abs. 3 KStG. § 8 Abs. 3 KStG bestimmt, dass die Körperschaftsteuerpflicht gemäß § 8 Abs. 1 KStG entfällt, § 8 Abs"
CORP-TAX-006,"Der Verlustabzug ist steuerlich abzugsfähig, wenn der Steuerpflichtige mindestens 10 Jahre im Veranlagungsjahr tätig war. § 8 Abs. 1 KStG sieht vor, dass der Verlustabzug in der Regel in der Höhe des Verlustes versteuert wird, der Verlustabzug jedoch in der Regel in der Höhe des Verlustes versteuert wird. § 8 Abs. 2 KStG sieht vor, dass der Verlustabzug in der Regel in der Höhe des Verlustes versteuert wird, der Verlustabzug jedoch in der Höhe des Verlustes versteuert wird. § 8 Abs. 3 KStG sieht vor, dass der Verlustabzug in der Regel in der Höhe des Verlustes versteuert wird, der Verlustabzug jedoch in der Höhe des Verlustes"
CORP-TAX-007,"Ein Mantelkauf ist ein Kauf, der die steuerliche Behandlung von Mantelgeschäften regelt. § 8 KStG.
Die steuerliche Behandlung von Mantelgeschäften ist in § 8 KStG geregelt. § 8 KStG regelt die steuerliche Behandlung von Mantelgeschäften. § 9 KStG regelt die steuerliche Behandlung von Mantelgeschäften. § 10 KStG regelt die steuerliche Behandlung von Mantelgeschäften. § 11 KStG regelt die steuerliche Behandlung von Mantelgeschäften. § 12 KStG regelt die steuerliche Behandlung von Mantelgeschäften. § 13 KStG regelt die steuerliche Behandlung von Mantelgeschäften. § 14 KStG regelt die steuerliche Behandlung von Mantelgeschäften. § 15 KStG regelt die steuerliche Behandlung von Mantelgeschäften. § 16 KStG regelt die steuerliche"
CORP-TAX-008,"Die Körperschaftsteuer ist eine Steuer, die auf die Gewinne der Gesellschaft erhoben wird, die sie in die Gewinnabführungsverträge einbezieht. (§ 4 Abs. 1 KStG)
Steuerpflichtige: Die Gesellschaft, die die Gewinnabführungsverträge abgeschlossen hat, ist steuerlich von der Körperschaftsteuer befreit (§ 4 Abs. 1 KStG). (§ 4 Abs. 2 KStG)
Steuerpflichtig sind alle natürlichen Personen, die in Deutschland ansässig sind (§ 4 Abs. 1 KStG). (§ 4 Abs. 2 KStG)
Steuerpflichtig sind alle natürlichen Personen, die in Deutschland ansässig sind (§ 4 Abs. 1 KStG). (§ 4 Abs. 2 KStG)
Steuerpflichtig sind alle natürlichen Personen, die"
CORP-TAX-009,"Die Verlustverrechnung ist eine Form der Gewinnverteilung, die inländische Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer Gruppenmitglieder inländischer"
CORP-TAX-010,"Ja, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuerpflichtig, Gruppenmitglieder sind steuer"
CORP-TAX-011,"Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied sind abzugsfähig, wenn sie in der Gewinn- und Verlustrechnung ausgewiesen sind. § 8 Abs. 1 KStG sieht vor, dass die Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied abzugsfähig sind, wenn sie in der Gewinn- und Verlustrechnung ausgewiesen sind. § 8 Abs. 2 KStG sieht vor, dass die Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied abzugsfähig sind, wenn sie in der Gewinn- und Verlustrechnung ausgewiesen sind. § 8 Abs. 3 KStG sieht vor, dass die Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied abzugsfähig sind, wenn sie in"
CORP-TAX-012,"Eine Dividendenausschüttung ist eine Ausschüttung, die an eine ausländische Gesellschaft ausgeschüttet wird, die mindestens 10 % der Stammaktien der Gesellschaft hält. § 8 Abs. 1 KStG sieht vor, dass die Ausschüttung steuerlich behandelt wird, wenn die Beteiligung 15 % beträgt und seit 2 Jahren gehalten wird. § 8 Abs. 2 KStG sieht vor, dass die Ausschüttung steuerlich behandelt wird, wenn die Beteiligung 15 % beträgt und seit 2 Jahren gehalten wird. § 8 Abs. 3 KStG sieht vor, dass die Ausschüttung steuerlich behandelt wird, wenn die Beteiligung 15 % beträgt und seit 2 Jahren gehalten wird. § 8 Abs. 4 KStG sieht vor, dass die Ausschüttung steuerlich behandelt wird,"
CORP-TAX-013,"§ 10 Abs. 1 KStG ist anwendbar, wenn der Konzern mindestens 50 % der Anteile des Unternehmens hält, die von diesem gehalten werden, und § 12 Abs. 1 Z 10 KStG ist anwendbar, wenn der Konzern mindestens 50 % der Anteile hält, die von diesem gehalten werden, und § 12 Abs. 1 Z 10 KStG ist anwendbar, wenn der Konzern mindestens 50 % der Anteile hält, die von diesem gehalten werden, und § 12 Abs. 1 Z 10 KStG ist anwendbar, wenn der Konzern mindestens 50 % der Anteile hält, die von diesem gehalten werden, und § 12 Abs. 1 Z 10 KStG ist anwendbar, wenn der Konzern mindestens 50 % der Anteile hält, die von diesem gehalten werden, und"
CORP-TAX-014,"Eine internationale Beteiligung muss mindestens 50 % betragen, um eine internationale Beteiligung zu erhalten. § 8 Abs. 1 KStG sieht vor, dass die Beteiligung an einer internationalen Schachtelbeteiligung mindestens 50 % betragen muss. § 8 Abs. 2 KStG sieht vor, dass die Beteiligung an einer internationalen Schachtelbeteiligung mindestens 50 % betragen muss. § 8 Abs. 3 KStG sieht vor, dass die Beteiligung an einer internationalen Schachtelbeteiligung mindestens 50 % betragen muss. § 8 Abs. 4 KStG sieht vor, dass die Beteiligung an einer internationalen Schachtelbeteiligung mindestens 50 % betragen muss. § 8 Abs. 5 KStG sieht vor, dass die Beteiligung an einer internationalen Schachtelbeteiligung mindestens 50 % betragen muss. § 8 Abs."
